Age,Sex,NetMigrationRateInThousands
Under 1 year,Male,0.42
1 year,Male,0.42
2 years,Male,0.42
3 years,Male,0.42
4 years,Male,0.42
5 years,Male,0.42
6 years,Male,0.42
7 years,Male,0.42
8 years,Male,0.42
9 years,Male,0.42
10 years,Male,0.42
11 years,Male,0.42
12 years,Male,0.42
13 years,Male,0.42
14 years,Male,0.42
15 years,Male,-0.09
16 years,Male,-0.09
17 years,Male,-0.09
18 years,Male,-0.09
19 years,Male,-0.09
20 years,Male,-0.09
21 years,Male,-0.09
22 years,Male,-0.09
23 years,Male,-0.09
24 years,Male,-0.09
25 years,Male,0.57
26 years,Male,0.57
27 years,Male,0.57
28 years,Male,0.57
29 years,Male,0.57
30 years,Male,0.57
31 years,Male,0.57
32 years,Male,0.57
33 years,Male,0.57
34 years,Male,0.57
35 years,Male,0.57
36 years,Male,0.57
37 years,Male,0.57
38 years,Male,0.57
39 years,Male,0.57
40 years,Male,0.57
41 years,Male,0.57
42 years,Male,0.57
43 years,Male,0.57
44 years,Male,0.57
45 years,Male,0.115
46 years,Male,0.115
47 years,Male,0.115
48 years,Male,0.115
49 years,Male,0.115
50 years,Male,0.115
51 years,Male,0.115
52 years,Male,0.115
53 years,Male,0.115
54 years,Male,0.115
55 years,Male,0.115
56 years,Male,0.115
57 years,Male,0.115
58 years,Male,0.115
59 years,Male,0.115
60 years,Male,0.115
61 years,Male,0.115
62 years,Male,0.115
63 years,Male,0.115
64 years,Male,0.115
65 years,Male,0.014285714
66 years,Male,0.014285714
67 years,Male,0.014285714
68 years,Male,0.014285714
69 years,Male,0.014285714
70 years,Male,0.014285714
71 years,Male,0.014285714
72 years,Male,0.014285714
73 years,Male,0.014285714
74 years,Male,0.014285714
75 years,Male,0.014285714
76 years,Male,0.014285714
77 years,Male,0.014285714
78 years,Male,0.014285714
79 years,Male,0.014285714
80 years,Male,0.014285714
81 years,Male,0.014285714
82 years,Male,0.014285714
83 years,Male,0.014285714
84 years,Male,0.014285714
85 years,Male,0.014285714
86 years,Male,0.014285714
87 years,Male,0.014285714
88 years,Male,0.014285714
89 years,Male,0.014285714
90 years,Male,0.014285714
91 years,Male,0.014285714
92 years,Male,0.014285714
93 years,Male,0.014285714
94 years,Male,0.014285714
95 years,Male,0.014285714
96 years,Male,0.014285714
97 years,Male,0.014285714
98 years,Male,0.014285714
99 years and over,Male,0.014285714
Under 1 year,Female,0.446666667
1 year,Female,0.446666667
2 years,Female,0.446666667
3 years,Female,0.446666667
4 years,Female,0.446666667
5 years,Female,0.446666667
6 years,Female,0.446666667
7 years,Female,0.446666667
8 years,Female,0.446666667
9 years,Female,0.446666667
10 years,Female,0.446666667
11 years,Female,0.446666667
12 years,Female,0.446666667
13 years,Female,0.446666667
14 years,Female,0.446666667
15 years,Female,0.07
16 years,Female,0.07
17 years,Female,0.07
18 years,Female,0.07
19 years,Female,0.07
20 years,Female,0.07
21 years,Female,0.07
22 years,Female,0.07
23 years,Female,0.07
24 years,Female,0.07
25 years,Female,1.04
26 years,Female,1.04
27 years,Female,1.04
28 years,Female,1.04
29 years,Female,1.04
30 years,Female,1.04
31 years,Female,1.04
32 years,Female,1.04
33 years,Female,1.04
34 years,Female,1.04
35 years,Female,1.04
36 years,Female,1.04
37 years,Female,1.04
38 years,Female,1.04
39 years,Female,1.04
40 years,Female,1.04
41 years,Female,1.04
42 years,Female,1.04
43 years,Female,1.04
44 years,Female,1.04
45 years,Female,0.15
46 years,Female,0.15
47 years,Female,0.15
48 years,Female,0.15
49 years,Female,0.15
50 years,Female,0.15
51 years,Female,0.15
52 years,Female,0.15
53 years,Female,0.15
54 years,Female,0.15
55 years,Female,0.15
56 years,Female,0.15
57 years,Female,0.15
58 years,Female,0.15
59 years,Female,0.15
60 years,Female,0.15
61 years,Female,0.15
62 years,Female,0.15
63 years,Female,0.15
64 years,Female,0.15
65 years,Female,0.025714286
66 years,Female,0.025714286
67 years,Female,0.025714286
68 years,Female,0.025714286
69 years,Female,0.025714286
70 years,Female,0.025714286
71 years,Female,0.025714286
72 years,Female,0.025714286
73 years,Female,0.025714286
74 years,Female,0.025714286
75 years,Female,0.025714286
76 years,Female,0.025714286
77 years,Female,0.025714286
78 years,Female,0.025714286
79 years,Female,0.025714286
80 years,Female,0.025714286
81 years,Female,0.025714286
82 years,Female,0.025714286
83 years,Female,0.025714286
84 years,Female,0.025714286
85 years,Female,0.025714286
86 years,Female,0.025714286
87 years,Female,0.025714286
88 years,Female,0.025714286
89 years,Female,0.025714286
90 years,Female,0.025714286
91 years,Female,0.025714286
92 years,Female,0.025714286
93 years,Female,0.025714286
94 years,Female,0.025714286
95 years,Female,0.025714286
96 years,Female,0.025714286
97 years,Female,0.025714286
98 years,Female,0.025714286
99 years and over,Female,0.025714286
